research_item_id,sa_item_id,claude_sonnet_4_thinking_correct,gemini_2_5_pro_correct,grok_4_correct,openai_o3_correct,n_models_correct,all_models_incorrect
RES-004051,SA_0577,1,1,0,0,2,0
RES-004107,SA_0578,0,0,0,0,0,1
RES-004117,SA_0579,0,0,1,0,1,0
RES-004129,SA_0580,0,0,0,0,0,1
RES-004146,SA_0581,0,1,1,1,3,0
RES-004194,SA_0582,0,0,0,0,0,1
RES-004195,SA_0583,0,0,0,0,0,1
RES-004199,SA_0584,0,0,0,1,1,0
RES-004209,SA_0585,1,0,1,0,2,0
RES-004217,SA_0586,1,1,1,1,4,0
RES-004336,SA_0587,0,0,0,0,0,1
RES-004341,SA_0588,1,1,1,1,4,0
RES-004342,SA_0589,0,0,0,0,0,1
RES-004366,SA_0590,0,0,0,0,0,1
RES-004416,SA_0591,0,0,0,0,0,1
RES-004419,SA_0592,0,0,1,1,2,0
RES-004436,SA_0593,0,0,0,0,0,1
RES-004451,SA_0594,0,0,0,0,0,1
RES-004456,SA_0595,0,0,0,0,0,1
RES-004475,SA_0596,0,0,0,0,0,1
RES-004483,SA_0597,0,0,1,0,1,0
RES-004485,SA_0598,0,1,1,1,3,0
RES-004519,SA_0599,0,0,0,0,0,1
RES-004577,SA_0600,0,0,0,0,0,1
RES-004584,SA_0601,0,0,0,0,0,1
RES-004625,SA_0602,0,0,0,0,0,1
RES-004631,SA_0603,0,0,0,0,0,1
RES-004640,SA_0604,1,1,1,1,4,0
RES-004642,SA_0605,1,1,0,1,3,0
RES-004648,SA_0606,0,0,0,0,0,1
RES-004663,SA_0607,0,0,0,0,0,1
RES-004689,SA_0608,0,0,0,0,0,1
RES-004712,SA_0609,0,0,0,0,0,1
RES-004720,SA_0610,0,0,0,0,0,1
RES-004748,SA_0611,0,1,0,1,2,0
RES-004750,SA_0612,0,0,0,0,0,1
RES-004757,SA_0613,0,0,0,0,0,1
RES-004758,SA_0614,0,0,1,0,1,0
RES-004785,SA_0615,0,0,0,0,0,1
RES-004809,SA_0616,1,1,1,0,3,0
RES-004814,SA_0617,1,0,1,0,2,0
RES-004816,SA_0618,0,0,0,0,0,1
RES-004822,SA_0619,1,1,1,1,4,0
RES-004831,SA_0620,1,1,1,1,4,0
RES-004853,SA_0621,0,0,0,1,1,0
RES-004874,SA_0622,1,1,0,0,2,0
RES-004882,SA_0623,0,0,0,0,0,1
RES-004885,SA_0624,0,0,0,0,0,1
RES-004887,SA_0625,1,1,1,1,4,0
RES-004888,SA_0626,0,0,1,0,1,0
RES-004896,SA_0627,0,0,1,0,1,0
RES-004915,SA_0628,0,0,0,0,0,1
RES-004989,SA_0629,0,1,1,1,3,0
RES-005002,SA_0630,0,0,0,0,0,1
RES-005034,SA_0631,0,1,0,0,1,0
RES-005065,SA_0632,0,0,0,0,0,1
RES-005073,SA_0633,0,0,0,0,0,1
RES-005074,SA_0634,0,0,0,0,0,1
RES-005107,SA_0635,0,0,0,0,0,1
RES-005121,SA_0636,0,0,0,0,0,1
RES-005187,SA_0637,0,1,0,1,2,0
RES-005223,SA_0638,0,0,0,0,0,1
RES-005273,SA_0639,1,1,1,1,4,0
RES-005304,SA_0640,0,1,0,0,1,0
RES-005355,SA_0641,0,0,0,0,0,1
RES-005358,SA_0642,0,0,0,1,1,0
RES-005484,SA_0643,0,0,1,0,1,0
RES-005507,SA_0644,1,0,1,0,2,0
RES-005513,SA_0645,0,0,0,0,0,1
RES-005519,SA_0646,0,0,0,0,0,1
RES-005535,SA_0647,0,1,1,0,2,0
RES-005538,SA_0648,1,0,0,1,2,0
RES-005547,SA_0649,1,1,1,0,3,0
RES-005556,SA_0650,0,0,0,0,0,1
RES-005593,SA_0651,0,0,0,0,0,1
RES-005616,SA_0652,1,1,1,1,4,0
RES-005636,SA_0653,0,0,0,0,0,1
RES-005637,SA_0654,0,1,1,0,2,0
RES-005659,SA_0655,0,1,0,0,1,0
RES-005663,SA_0656,0,0,0,0,0,1
RES-005687,SA_0657,1,0,0,0,1,0
RES-005692,SA_0658,1,1,0,1,3,0
RES-005713,SA_0659,1,1,1,0,3,0
RES-005718,SA_0660,0,0,0,0,0,1
RES-005730,SA_0661,0,0,0,0,0,1
RES-005745,SA_0662,0,0,0,1,1,0
RES-005761,SA_0663,0,0,0,0,0,1
RES-005790,SA_0664,0,0,0,0,0,1
RES-005808,SA_0665,0,0,0,0,0,1
RES-005815,SA_0666,0,0,0,0,0,1
RES-005817,SA_0667,0,0,0,0,0,1
RES-005868,SA_0668,0,0,0,1,1,0
RES-005871,SA_0669,0,0,0,0,0,1
RES-005889,SA_0670,1,0,1,0,2,0
RES-005890,SA_0671,0,0,0,1,1,0
RES-005899,SA_0672,0,1,0,0,1,0
RES-005908,SA_0673,0,0,1,0,1,0
RES-005910,SA_0674,1,1,1,0,3,0
RES-005914,SA_0675,0,1,0,0,1,0
RES-005927,SA_0676,0,0,0,0,0,1
RES-005932,SA_0677,0,1,0,0,1,0
RES-005934,SA_0678,0,0,0,0,0,1
RES-005958,SA_0679,0,1,1,0,2,0
RES-005970,SA_0680,1,0,1,1,3,0
RES-005977,SA_0681,0,0,0,0,0,1
RES-005984,SA_0682,0,0,0,0,0,1
RES-005989,SA_0683,0,0,0,0,0,1
RES-006000,SA_0684,0,0,0,0,0,1
RES-006036,SA_0685,1,0,0,0,1,0
RES-006043,SA_0686,1,1,0,1,3,0
RES-006044,SA_0687,0,0,0,0,0,1
RES-006045,SA_0688,1,1,1,1,4,0
RES-006074,SA_0689,0,1,0,1,2,0
RES-006127,SA_0690,1,1,1,1,4,0
RES-006131,SA_0691,0,0,0,0,0,1
RES-006150,SA_0692,0,0,0,0,0,1
RES-006156,SA_0693,0,1,0,1,2,0
RES-006157,SA_0694,1,1,1,1,4,0
RES-006167,SA_0695,0,0,0,0,0,1
RES-006173,SA_0696,0,0,0,0,0,1
RES-006186,SA_0697,0,1,0,1,2,0
RES-006221,SA_0698,1,1,0,1,3,0
RES-006228,SA_0699,0,0,0,0,0,1
RES-006241,SA_0700,0,0,0,0,0,1
RES-006248,SA_0701,0,1,0,1,2,0
RES-006266,SA_0702,0,0,0,0,0,1
RES-006269,SA_0703,0,1,0,0,1,0
RES-006273,SA_0704,0,0,0,0,0,1
RES-006278,SA_0705,0,0,0,0,0,1
RES-006289,SA_0706,0,0,0,1,1,0
RES-006296,SA_0707,0,1,1,1,3,0
RES-006307,SA_0708,0,0,0,0,0,1
RES-006309,SA_0709,0,0,1,1,2,0
RES-006310,SA_0710,0,0,0,0,0,1
RES-006318,SA_0711,0,0,0,0,0,1
RES-006320,SA_0712,0,0,0,0,0,1
RES-006340,SA_0713,0,0,0,0,0,1
RES-006343,SA_0714,1,0,0,0,1,0
RES-006362,SA_0715,0,0,0,0,0,1
RES-006372,SA_0716,0,0,0,0,0,1
RES-006385,SA_0717,0,0,0,0,0,1
RES-006393,SA_0718,1,0,0,0,1,0
RES-006401,SA_0719,0,0,0,0,0,1
RES-006414,SA_0720,0,0,0,0,0,1
RES-006429,SA_0721,0,0,0,0,0,1
RES-006438,SA_0722,0,0,0,0,0,1
RES-006442,SA_0723,0,0,0,0,0,1
RES-006463,SA_0724,0,0,0,0,0,1
RES-006475,SA_0725,0,0,0,0,0,1
RES-006476,SA_0726,0,0,0,0,0,1
RES-006483,SA_0727,0,0,0,0,0,1
RES-006491,SA_0728,1,1,1,1,4,0
RES-006493,SA_0729,0,0,0,0,0,1
RES-006502,SA_0730,0,0,0,0,0,1
RES-006518,SA_0731,0,0,0,0,0,1
RES-006532,SA_0732,1,0,1,0,2,0
RES-006536,SA_0733,0,0,1,0,1,0
RES-006548,SA_0734,0,0,0,0,0,1
RES-006554,SA_0735,0,0,0,0,0,1
RES-006557,SA_0736,0,0,0,0,0,1
RES-006558,SA_0737,1,1,0,0,2,0
RES-006562,SA_0738,0,0,0,0,0,1
RES-006574,SA_0739,1,0,0,0,1,0
RES-006598,SA_0740,1,1,0,1,3,0
RES-006607,SA_0741,0,0,0,0,0,1
RES-006608,SA_0742,0,1,0,0,1,0
RES-006613,SA_0743,0,0,0,0,0,1
RES-006637,SA_0744,1,0,1,1,3,0
RES-006647,SA_0745,1,1,1,1,4,0
RES-006648,SA_0746,1,1,0,1,3,0
RES-006668,SA_0747,1,0,0,1,2,0
RES-006680,SA_0748,1,1,1,1,4,0
RES-006684,SA_0749,1,1,1,1,4,0
RES-006689,SA_0750,0,1,0,1,2,0
RES-006701,SA_0751,0,0,0,0,0,1
RES-006704,SA_0752,1,1,1,1,4,0
RES-006708,SA_0753,0,0,0,0,0,1
RES-006714,SA_0754,0,0,0,0,0,1
RES-006717,SA_0755,1,0,1,1,3,0
RES-006737,SA_0756,0,0,0,0,0,1
RES-006742,SA_0757,0,0,0,0,0,1
RES-006751,SA_0758,0,0,0,0,0,1
RES-006756,SA_0759,0,0,0,0,0,1
RES-006765,SA_0760,0,0,0,0,0,1
RES-006772,SA_0761,0,0,0,0,0,1
RES-006787,SA_0762,0,0,0,0,0,1
RES-006820,SA_0763,1,1,0,1,3,0
RES-006830,SA_0764,1,1,1,1,4,0
RES-006838,SA_0765,0,0,0,0,0,1
RES-006844,SA_0766,1,1,0,0,2,0
RES-006852,SA_0767,0,1,1,0,2,0
RES-006861,SA_0768,0,0,0,0,0,1
RES-006864,SA_0769,0,0,0,0,0,1
RES-006867,SA_0770,1,1,1,0,3,0
RES-006884,SA_0771,0,0,0,0,0,1
RES-006887,SA_0772,0,0,1,0,1,0
RES-006888,SA_0773,0,0,0,0,0,1
RES-006891,SA_0774,0,0,0,0,0,1
RES-006898,SA_0775,0,1,1,0,2,0
RES-006913,SA_0776,1,1,0,1,3,0
RES-006916,SA_0777,0,0,0,0,0,1
RES-006934,SA_0778,1,0,1,0,2,0
RES-006968,SA_0779,0,0,0,0,0,1
RES-006978,SA_0780,0,0,0,0,0,1
RES-006984,SA_0781,0,0,1,0,1,0
RES-006985,SA_0782,0,0,0,1,1,0
RES-006994,SA_0783,0,1,1,0,2,0
RES-006999,SA_0784,0,0,0,0,0,1
RES-007007,SA_0785,0,1,0,1,2,0
RES-007011,SA_0786,0,0,0,0,0,1
RES-007025,SA_0787,0,0,0,0,0,1
RES-007027,SA_0788,0,0,0,0,0,1
RES-007035,SA_0789,1,1,1,1,4,0
RES-007046,SA_0790,0,0,0,0,0,1
RES-007050,SA_0791,0,1,1,0,2,0
RES-007055,SA_0792,1,1,1,1,4,0
RES-007058,SA_0793,1,1,0,1,3,0
RES-007060,SA_0794,0,0,1,1,2,0
RES-007062,SA_0795,0,1,1,1,3,0
RES-007065,SA_0796,1,0,1,1,3,0
RES-007068,SA_0797,0,0,0,0,0,1
RES-007071,SA_0798,0,1,0,0,1,0
RES-007074,SA_0799,1,1,1,1,4,0
RES-007087,SA_0800,1,1,1,1,4,0
RES-007093,SA_0801,1,1,0,0,2,0
RES-007145,SA_0802,1,1,1,0,3,0
RES-007161,SA_0803,1,1,1,1,4,0
RES-007162,SA_0804,0,0,0,0,0,1
RES-007235,SA_0805,1,0,0,0,1,0
RES-007244,SA_0806,1,1,1,0,3,0
RES-007268,SA_0807,1,1,0,1,3,0
RES-007284,SA_0808,0,0,0,0,0,1
RES-007297,SA_0809,0,0,0,0,0,1
RES-007317,SA_0810,0,0,0,0,0,1
RES-007324,SA_0811,0,0,0,1,1,0
RES-007332,SA_0812,0,0,0,0,0,1
RES-007355,SA_0813,0,0,0,0,0,1
RES-007368,SA_0814,1,1,1,1,4,0
RES-007370,SA_0815,1,1,1,1,4,0
RES-007371,SA_0816,0,0,0,0,0,1
RES-007374,SA_0817,1,0,0,0,1,0
RES-007379,SA_0818,0,0,1,0,1,0
RES-007380,SA_0819,0,0,0,0,0,1
RES-007381,SA_0820,0,1,0,0,1,0
RES-007382,SA_0821,0,0,0,0,0,1
RES-007383,SA_0822,1,1,1,1,4,0
RES-007386,SA_0823,1,1,1,0,3,0
RES-007387,SA_0824,0,1,0,0,1,0
RES-007389,SA_0825,0,0,0,0,0,1
RES-007390,SA_0826,0,0,0,0,0,1
RES-007394,SA_0827,0,0,0,0,0,1
RES-007396,SA_0828,1,1,1,0,3,0
RES-007397,SA_0829,0,0,0,0,0,1
RES-007404,SA_0830,0,0,0,0,0,1
RES-007407,SA_0831,0,0,0,0,0,1
RES-007411,SA_0832,1,0,0,1,2,0
RES-007414,SA_0833,0,0,0,0,0,1
RES-007415,SA_0834,1,1,1,0,3,0
RES-007416,SA_0835,1,1,1,1,4,0
RES-007420,SA_0836,0,0,0,0,0,1
RES-007421,SA_0837,1,1,0,0,2,0
RES-007422,SA_0838,0,0,0,0,0,1
RES-007424,SA_0839,1,0,0,0,1,0
RES-007426,SA_0840,0,0,1,0,1,0
RES-007429,SA_0841,0,1,0,0,1,0
RES-007430,SA_0842,0,1,1,1,3,0
RES-007432,SA_0843,0,0,0,0,0,1
RES-007433,SA_0844,0,0,0,0,0,1
RES-007434,SA_0845,0,0,0,0,0,1
RES-007435,SA_0846,1,1,1,0,3,0
RES-007440,SA_0847,0,1,0,0,1,0
RES-007441,SA_0848,1,0,0,0,1,0
RES-007447,SA_0849,0,0,0,0,0,1
RES-007450,SA_0850,0,0,0,0,0,1
RES-007451,SA_0851,0,0,1,1,2,0
RES-007452,SA_0852,1,1,1,0,3,0
RES-007453,SA_0853,0,0,0,0,0,1
RES-007454,SA_0854,0,0,0,0,0,1
RES-007455,SA_0855,0,0,0,0,0,1
RES-007462,SA_0856,0,0,0,0,0,1
RES-007464,SA_0857,0,1,1,0,2,0
RES-007465,SA_0858,0,0,1,0,1,0
RES-007467,SA_0859,0,0,0,1,1,0
RES-007469,SA_0860,0,1,0,0,1,0
RES-007470,SA_0861,0,0,0,0,0,1
RES-007472,SA_0862,1,1,0,1,3,0
RES-007473,SA_0863,1,1,0,1,3,0
RES-007476,SA_0864,0,0,0,0,0,1
RES-007479,SA_0865,0,0,0,0,0,1
RES-007482,SA_0866,0,0,0,0,0,1
RES-007483,SA_0867,1,0,1,1,3,0
RES-007486,SA_0868,0,1,0,0,1,0
RES-007487,SA_0869,0,0,0,0,0,1
RES-007490,SA_0870,0,0,0,0,0,1
RES-007493,SA_0871,0,0,0,0,0,1
RES-007495,SA_0872,0,0,1,0,1,0
RES-007496,SA_0873,1,0,1,0,2,0
RES-007498,SA_0874,1,1,1,1,4,0
RES-007504,SA_0875,0,0,0,0,0,1
RES-007506,SA_0876,0,0,0,0,0,1
RES-007507,SA_0877,1,1,1,1,4,0
RES-007508,SA_0878,1,1,1,1,4,0
RES-007511,SA_0879,0,1,1,0,2,0
RES-007512,SA_0880,0,1,1,0,2,0
RES-007514,SA_0881,1,1,1,1,4,0
RES-007515,SA_0882,1,1,0,1,3,0
RES-007517,SA_0883,0,0,0,0,0,1
RES-007518,SA_0884,1,1,0,0,2,0
RES-007522,SA_0885,0,0,0,0,0,1
RES-007526,SA_0886,0,0,0,0,0,1
RES-007527,SA_0887,0,0,1,0,1,0
RES-007528,SA_0888,0,0,0,0,0,1
RES-007532,SA_0889,0,0,0,0,0,1
RES-007533,SA_0890,1,1,0,1,3,0
RES-007535,SA_0891,1,1,1,1,4,0
RES-007536,SA_0892,1,1,0,1,3,0
RES-007537,SA_0893,0,1,0,0,1,0
RES-007542,SA_0894,0,0,0,0,0,1
RES-007543,SA_0895,0,0,0,0,0,1
RES-007544,SA_0896,0,0,0,1,1,0
RES-007547,SA_0897,0,0,0,0,0,1
RES-007549,SA_0898,0,0,0,0,0,1
RES-007552,SA_0899,0,0,0,0,0,1
RES-007554,SA_0900,0,0,0,0,0,1
RES-007556,SA_0901,0,0,1,0,1,0
RES-007557,SA_0902,0,0,0,0,0,1
RES-007558,SA_0903,1,0,0,0,1,0
RES-007559,SA_0904,0,0,0,0,0,1
RES-007560,SA_0905,1,0,1,1,3,0
RES-007562,SA_0906,0,0,0,0,0,1
RES-007564,SA_0907,0,0,0,0,0,1
RES-007565,SA_0908,0,0,0,0,0,1
RES-007567,SA_0909,0,0,0,0,0,1
RES-007569,SA_0910,1,0,0,1,2,0
RES-007571,SA_0911,0,0,0,0,0,1
RES-007574,SA_0912,0,0,0,0,0,1
RES-007576,SA_0913,0,0,0,0,0,1
RES-007581,SA_0914,1,1,0,0,2,0
RES-007582,SA_0915,1,1,1,1,4,0
RES-007583,SA_0916,0,0,0,1,1,0
RES-007585,SA_0917,0,0,0,0,0,1
RES-007586,SA_0918,1,0,1,0,2,0
RES-007592,SA_0919,0,0,0,1,1,0
RES-007593,SA_0920,1,0,1,0,2,0
RES-007594,SA_0921,0,0,0,0,0,1
RES-007596,SA_0922,0,1,1,1,3,0
RES-007597,SA_0923,0,1,1,1,3,0
RES-007606,SA_0924,1,1,1,1,4,0
RES-007608,SA_0925,0,0,1,0,1,0
RES-007612,SA_0926,0,0,1,1,2,0
RES-007613,SA_0927,0,0,0,0,0,1
RES-007614,SA_0928,0,0,0,0,0,1
RES-007615,SA_0929,0,0,0,0,0,1
RES-007617,SA_0930,1,1,1,1,4,0
RES-007620,SA_0931,1,0,0,0,1,0
RES-007623,SA_0932,1,1,0,1,3,0
RES-007625,SA_0933,0,0,1,0,1,0
RES-007628,SA_0934,0,0,0,0,0,1
RES-007632,SA_0935,0,0,0,0,0,1
RES-007634,SA_0936,1,0,0,0,1,0
RES-007636,SA_0937,0,0,0,0,0,1
RES-007638,SA_0938,0,0,0,0,0,1
RES-007639,SA_0939,0,0,0,0,0,1
RES-007640,SA_0940,0,0,0,1,1,0
RES-007641,SA_0941,1,1,1,1,4,0
RES-007642,SA_0942,0,0,0,0,0,1
RES-007643,SA_0943,1,0,0,0,1,0
RES-007644,SA_0944,0,0,0,0,0,1
RES-007648,SA_0945,0,0,0,0,0,1
RES-007649,SA_0946,1,1,1,1,4,0
RES-007650,SA_0947,0,0,0,0,0,1
RES-007652,SA_0948,0,0,1,0,1,0
RES-007654,SA_0949,0,0,0,0,0,1
RES-007656,SA_0950,0,0,1,0,1,0
RES-007657,SA_0951,0,0,0,0,0,1
RES-007658,SA_0952,0,0,0,1,1,0
RES-007659,SA_0953,0,1,1,1,3,0
RES-007660,SA_0954,0,0,0,0,0,1
RES-007663,SA_0955,1,1,1,0,3,0
RES-007665,SA_0956,0,0,0,0,0,1
RES-007667,SA_0957,0,0,0,0,0,1
RES-007671,SA_0958,0,0,1,0,1,0
RES-007672,SA_0959,0,0,0,0,0,1
RES-007675,SA_0960,0,0,0,0,0,1
RES-007678,SA_0961,0,0,0,0,0,1
RES-007681,SA_0962,0,0,1,0,1,0
RES-007682,SA_0963,0,0,0,0,0,1
RES-007686,SA_0964,1,1,1,1,4,0
RES-007687,SA_0965,0,0,0,0,0,1
RES-007689,SA_0966,0,0,0,0,0,1
RES-007690,SA_0967,0,0,0,0,0,1
RES-007692,SA_0968,0,0,0,0,0,1
RES-007696,SA_0969,0,0,0,0,0,1
RES-007698,SA_0970,1,1,1,0,3,0
RES-007701,SA_0971,0,0,0,0,0,1
RES-007702,SA_0972,0,0,1,0,1,0
RES-007705,SA_0973,0,0,0,0,0,1
RES-007707,SA_0974,1,1,1,0,3,0
RES-007708,SA_0975,0,0,0,0,0,1
RES-007710,SA_0976,0,0,1,0,1,0
RES-007711,SA_0977,0,0,0,0,0,1
RES-007712,SA_0978,0,0,0,0,0,1
RES-007713,SA_0979,0,0,0,0,0,1
RES-007717,SA_0980,0,0,0,0,0,1
RES-007718,SA_0981,0,0,0,0,0,1
RES-007720,SA_0982,0,0,0,0,0,1
RES-007721,SA_0983,0,0,0,0,0,1
RES-007722,SA_0984,0,0,1,1,2,0
RES-007724,SA_0985,0,0,0,0,0,1
RES-007728,SA_0986,0,0,0,0,0,1
RES-007732,SA_0987,1,1,0,0,2,0
RES-007733,SA_0988,0,1,1,1,3,0
RES-007735,SA_0989,0,0,0,0,0,1
RES-007737,SA_0990,0,0,0,0,0,1
RES-007739,SA_0991,0,0,0,0,0,1
RES-007741,SA_0992,0,0,0,0,0,1
RES-007743,SA_0993,0,0,0,0,0,1
RES-007745,SA_0994,0,0,0,0,0,1
RES-007747,SA_0995,1,0,0,0,1,0
RES-007751,SA_0996,0,1,0,1,2,0
RES-007752,SA_0997,0,1,0,0,1,0
RES-007753,SA_0998,1,0,0,0,1,0
RES-007754,SA_0999,0,1,0,0,1,0
RES-007755,SA_1000,0,1,1,1,3,0
RES-007758,SA_1001,1,0,0,0,1,0
RES-007759,SA_1002,1,0,1,1,3,0
RES-007760,SA_1003,0,0,0,0,0,1
RES-007761,SA_1004,0,0,1,0,1,0
RES-007762,SA_1005,1,0,0,0,1,0
RES-007765,SA_1006,0,0,1,0,1,0
RES-007766,SA_1007,0,0,0,0,0,1
RES-007768,SA_1008,1,1,0,0,2,0
RES-007769,SA_1009,1,0,1,1,3,0
RES-007771,SA_1010,0,0,0,0,0,1
RES-007774,SA_1011,0,0,0,0,0,1
RES-007775,SA_1012,0,0,0,0,0,1
RES-007776,SA_1013,1,0,1,1,3,0
RES-007777,SA_1014,0,0,0,0,0,1
RES-007779,SA_1015,1,1,1,1,4,0
RES-007781,SA_1016,0,0,1,1,2,0
RES-007782,SA_1017,0,0,0,0,0,1
RES-007783,SA_1018,0,0,0,0,0,1
RES-007784,SA_1019,0,0,1,0,1,0
RES-007785,SA_1020,0,0,0,0,0,1
RES-007786,SA_1021,0,0,0,0,0,1
RES-007787,SA_1022,0,0,0,0,0,1
RES-007788,SA_1023,0,0,1,0,1,0
RES-007789,SA_1024,0,0,1,1,2,0
RES-007790,SA_1025,0,0,0,0,0,1
RES-007791,SA_1026,0,1,0,0,1,0
RES-007792,SA_1027,0,0,0,0,0,1
RES-007794,SA_1028,0,1,1,1,3,0
RES-007795,SA_1029,1,1,0,1,3,0
RES-007799,SA_1030,0,0,0,0,0,1
RES-007801,SA_1031,0,0,0,0,0,1
RES-007803,SA_1032,0,0,1,1,2,0
RES-007806,SA_1033,0,0,0,0,0,1
RES-007807,SA_1034,0,0,0,0,0,1
RES-007810,SA_1035,0,0,0,0,0,1
RES-007813,SA_1036,1,1,1,1,4,0
RES-007817,SA_1037,0,0,0,0,0,1
RES-007819,SA_1038,0,0,0,0,0,1
RES-007822,SA_1039,1,1,1,1,4,0
RES-007823,SA_1040,0,0,0,0,0,1
RES-007826,SA_1041,0,1,1,0,2,0
RES-007827,SA_1042,1,1,1,1,4,0
RES-007829,SA_1043,0,0,0,0,0,1
RES-007830,SA_1044,0,1,1,1,3,0
RES-007832,SA_1045,0,0,1,0,1,0
RES-007833,SA_1046,0,1,1,0,2,0
RES-007834,SA_1047,0,0,0,0,0,1
RES-007838,SA_1048,0,0,0,0,0,1
RES-007839,SA_1049,0,0,1,0,1,0
RES-007840,SA_1050,0,0,0,0,0,1
RES-007845,SA_1051,0,0,0,0,0,1
RES-007851,SA_1052,0,0,0,0,0,1
RES-007852,SA_1053,0,0,0,0,0,1
RES-007854,SA_1054,0,0,0,0,0,1
RES-007855,SA_1055,1,1,1,1,4,0
RES-007856,SA_1056,0,0,0,0,0,1
RES-007857,SA_1057,0,0,1,0,1,0
RES-007859,SA_1058,0,0,0,0,0,1
RES-007861,SA_1059,1,1,1,1,4,0
RES-007863,SA_1060,0,0,0,0,0,1
RES-007868,SA_1061,0,0,0,0,0,1
RES-007874,SA_1062,0,1,0,0,1,0
RES-007875,SA_1063,0,0,0,0,0,1
RES-007876,SA_1064,0,0,0,0,0,1
RES-007879,SA_1065,0,1,0,0,1,0
RES-007883,SA_1066,0,0,1,0,1,0
RES-007884,SA_1067,0,1,1,0,2,0
RES-007887,SA_1068,0,0,1,1,2,0
RES-007892,SA_1069,0,0,0,0,0,1
RES-007893,SA_1070,0,1,1,1,3,0
RES-007895,SA_1071,1,0,1,1,3,0
RES-007897,SA_1072,0,0,0,0,0,1
RES-007899,SA_1073,1,0,0,0,1,0
RES-007900,SA_1074,1,1,1,1,4,0
RES-007901,SA_1075,0,1,1,1,3,0
RES-007902,SA_1076,0,0,0,0,0,1
RES-007904,SA_1077,0,0,0,0,0,1
RES-007906,SA_1078,0,1,0,1,2,0
RES-007909,SA_1079,0,0,0,0,0,1
RES-007912,SA_1080,0,0,0,0,0,1
RES-007914,SA_1081,0,0,0,0,0,1
RES-007915,SA_1082,1,1,1,1,4,0
RES-007917,SA_1083,0,0,0,0,0,1
RES-007919,SA_1084,0,0,0,0,0,1
RES-007920,SA_1085,0,0,0,0,0,1
RES-007923,SA_1086,0,0,0,0,0,1
RES-007924,SA_1087,0,0,0,0,0,1
RES-007927,SA_1088,0,0,0,0,0,1
RES-007931,SA_1089,0,1,0,1,2,0
RES-007936,SA_1090,0,0,0,0,0,1
RES-007937,SA_1091,0,0,0,0,0,1
RES-007940,SA_1092,0,0,0,0,0,1
RES-007943,SA_1093,0,0,0,0,0,1
RES-007947,SA_1094,0,0,0,0,0,1
RES-007948,SA_1095,0,0,0,0,0,1
RES-007951,SA_1096,0,0,0,0,0,1
RES-007953,SA_1097,0,0,0,0,0,1
RES-007954,SA_1098,0,1,1,1,3,0
RES-007955,SA_1099,0,0,1,0,1,0
RES-007959,SA_1100,0,0,0,0,0,1
RES-007963,SA_1101,1,0,0,0,1,0
RES-007964,SA_1102,0,0,0,0,0,1
RES-007967,SA_1103,0,0,0,0,0,1
RES-007969,SA_1104,0,0,0,1,1,0
RES-007970,SA_1105,0,1,0,1,2,0
RES-007971,SA_1106,0,1,0,0,1,0
RES-007973,SA_1107,1,1,0,1,3,0
RES-007976,SA_1108,0,0,0,0,0,1
RES-007978,SA_1109,0,0,0,0,0,1
RES-007980,SA_1110,0,0,0,0,0,1
RES-007982,SA_1111,0,1,0,1,2,0
RES-007984,SA_1112,0,0,0,0,0,1
RES-007987,SA_1113,1,1,1,1,4,0
RES-007992,SA_1114,1,1,1,1,4,0
RES-007997,SA_1115,1,1,1,1,4,0
RES-008000,SA_1116,0,1,1,1,3,0
RES-008005,SA_1117,0,0,0,0,0,1
RES-008006,SA_1118,0,0,0,1,1,0
RES-008010,SA_1119,1,1,1,1,4,0
RES-008012,SA_1120,0,0,1,1,2,0
RES-008013,SA_1121,0,1,1,0,2,0
RES-008016,SA_1122,0,0,0,0,0,1
RES-008019,SA_1123,1,0,0,0,1,0
RES-008021,SA_1124,0,0,0,0,0,1
RES-008023,SA_1125,0,0,0,0,0,1
RES-008025,SA_1126,1,1,1,1,4,0
RES-008027,SA_1127,0,1,0,0,1,0
RES-008028,SA_1128,0,0,1,0,1,0
RES-008031,SA_1129,0,1,0,0,1,0
RES-008035,SA_1130,0,0,1,0,1,0
RES-008036,SA_1131,1,1,0,1,3,0
RES-008037,SA_1132,0,0,0,0,0,1
RES-008039,SA_1133,0,0,0,0,0,1
RES-008040,SA_1134,0,0,0,0,0,1
RES-008042,SA_1135,0,0,0,0,0,1
RES-008044,SA_1136,0,0,0,0,0,1
RES-008045,SA_1137,0,0,0,0,0,1
RES-008047,SA_1138,0,0,0,0,0,1
RES-008048,SA_1139,0,0,0,0,0,1
RES-008050,SA_1140,0,0,0,0,0,1
RES-008051,SA_1141,0,0,0,0,0,1
RES-008052,SA_1142,0,0,0,0,0,1
RES-008054,SA_1143,0,0,0,0,0,1
RES-008055,SA_1144,0,0,0,0,0,1
RES-008057,SA_1145,0,0,0,0,0,1
RES-008061,SA_1146,0,0,0,0,0,1
RES-008062,SA_1147,0,0,0,0,0,1
RES-008064,SA_1148,0,0,0,0,0,1
RES-008067,SA_1149,1,1,0,0,2,0
RES-008068,SA_1150,1,1,1,0,3,0
RES-008081,SA_1151,0,0,0,0,0,1
RES-008083,SA_1152,1,1,1,0,3,0
RES-008089,SA_1153,0,0,0,0,0,1
RES-008090,SA_1154,0,1,0,0,1,0
RES-008091,SA_1155,0,0,0,0,0,1
RES-008092,SA_1156,1,0,0,0,1,0
